Machine,Position,PartNo,FIDL,Pickup,Usage,Reject,NoPick,Error,Dislodge,Rescan,Pickup,Reject,Error,Dislodge,Success
NXT2,M1-15,512-0008-00,KT8BC 033917,12,12,0,0,0,0,0,100,0,0,0,100
NXT2,M2-7,512-0008-00,KT8BL 403369,12,12,0,0,0,0,0,100,0,0,0,100
NXT2,M5-12,512-0015-00,KT24C 061317,6,6,0,0,0,0,0,100,0,0,0,100
NXT2,M1-16,512-0020-00,KT8BL 345328,4,4,0,0,0,0,0,100,0,0,0,100
NXT2,M2-16,512-0020-00,KT8BC 043816,8,8,0,0,0,0,0,100,0,0,0,100
NXT2,M3-26,512-0021-00,KT8BC 212822,6,6,0,0,0,0,0,100,0,0,0,100
